time_c,ECG data
0.004,2578.921924
0.008,2578.921924
0.012,2569.131859
0.016,2610.169662
0.02,2638.466971
0.024,2622.306659
0.028,2577.111432
0.032,2582.028816
0.036,2664.46205
0.04,2781.652246
0.044,2883.106814
0.048,2888.270067
0.052,2867.818221
0.056,2815.157511
0.06,2556.011385
0.064,2008.773626
0.068,1222.930994
0.072,790.7823671
0.076,923.7975983
0.08,1584.269295
0.084,2405.13711
0.088,2654.448468
0.092,2502.456606
0.096,2441.548102
0.1,2402.991343
0.104,2359.427793
0.108,2330.68345
0.112,2349.078935
0.116,2413.295497
0.12,2459.317739
0.124,2444.096201
0.128,2399.683285
0.132,2382.472441
0.136,2419.576337
0.14,2444.923215
0.144,2421.342125
0.148,2369.821354
0.152,2347.268444
0.156,2376.504526
0.16,2404.421855
0.164,2379.611418
0.168,2318.859377
0.172,2289.399778
0.176,2315.998353
0.18,2336.561958
0.184,2305.023647
0.188,2240.561216
0.192,2209.671105
0.196,2226.546672
0.2,2233.833341
0.204,2195.947134
0.208,2124.287441
0.212,2073.928961
0.216,2071.73849
0.22,2067.737528
0.224,2012.193443
0.228,1916.907956
0.232,1849.137467
0.236,1831.792513
0.24,1806.311525
0.244,1731.969623
0.248,1624.994174
0.252,1539.923434
0.256,1516.185882
0.26,1495.108187
0.264,1426.868311
0.268,1327.470103
0.272,1261.867733
0.276,1254.893989
0.28,1258.738489
0.284,1232.676355
0.288,1191.817366
0.292,1193.650209
0.296,1262.582989
0.3,1351.855856
0.304,1417.257061
0.308,1470.454212
0.312,1556.083745
0.316,1699.0008
0.32,1842.186075
0.324,1935.415201
0.328,1988.411187
0.332,2059.489734
0.336,2173.505983
0.34,2277.173373
0.344,2324.782589
0.348,2329.074124
0.352,2341.45699
0.356,2407.707561
0.36,2470.426556
0.364,2484.195231
0.368,2461.910541
0.372,2453.796858
0.376,2493.292391
0.38,2530.351583
0.384,2524.249557
0.388,2484.530507
0.392,2469.33132
0.396,2508.625687
0.4,2546.668356
0.404,2537.660603
0.408,2492.688893
0.412,2467.923161
0.416,2503.14951
0.42,2546.19897
0.424,2533.7714
0.428,2489.112614
0.432,2469.599541
0.436,2503.551841
0.44,2540.231054
0.444,2534.665469
0.448,2496.041655
0.452,2474.427518
0.456,2508.446873
0.46,2546.556598
0.464,2541.125124
0.468,2496.846318
0.472,2475.120422
0.476,2511.620821
0.48,2552.815086
0.484,2540.543978
0.488,2493.851184
0.492,2476.103899
0.496,2517.096998
0.5,2554.312653
0.504,2545.215493
0.508,2500.310838
0.512,2478.562591
0.516,2515.890004
0.52,2559.073574
0.524,2554.849095
0.528,2510.302068
0.532,2490.520774
0.536,2526.21651
0.54,2567.030795
0.544,2565.779098
0.548,2527.289394
0.552,2506.725789
0.556,2542.443877
0.56,2579.614828
0.564,2576.284418
0.568,2538.174693
0.572,2513.878347
0.576,2548.277682
0.58,2590.768348
0.584,2592.891764
0.588,2554.066784
0.592,2529.993955
0.596,2565.376766
0.6,2608.113302
0.604,2600.469005
0.608,2556.369013
0.612,2535.000746
0.616,2570.830592
0.62,2612.717761
0.624,2609.543813
0.628,2572.305807
0.632,2547.22715
0.636,2577.245543
0.64,2615.042343
0.644,2614.505901
0.648,2580.374787
0.652,2557.464249
0.656,2587.281476
0.66,2629.503921
0.664,2628.319279
0.668,2583.459328
0.672,2558.291263
0.676,2598.323238
0.68,2643.540817
0.684,2639.361041
0.688,2595.730435
0.692,2571.881124
0.696,2614.461197
0.7,2665.333768
0.704,2664.953788
0.708,2628.34163
0.712,2601.698351
0.716,2623.513654
0.72,2659.567018
0.724,2662.092765
0.728,2610.169662
0.732,2558.738298
0.736,2579.525421
0.74,2621.725514
0.744,2617.299869
0.748,2573.266932
0.752,2541.818028
0.756,2573.557505
0.76,2626.687601
0.764,2644.077259
0.768,2612.583651
0.772,2587.952028
0.776,2628.051058
0.78,2676.12966
0.784,2675.190887
0.788,2627.089933
0.792,2594.456386
0.796,2626.397029
0.8,2673.581561
0.804,2676.174364
0.808,2637.707011
0.812,2611.197843
0.816,2639.361041
0.82,2687.193774
0.824,2692.960524
0.828,2655.141372
0.832,2624.139503
0.836,2649.419326
0.84,2688.311361
0.844,2690.948867
0.848,2671.100518
0.852,2692.066454
0.856,2823.561767
0.86,2977.833507
0.864,3019.631269
0.868,2955.213541
0.872,2805.367447
0.876,2491.414844
0.88,1944.221788
0.884,1212.872709
0.888,876.3671966
0.892,1056.678719
0.896,1842.923682
0.9,2650.201637
0.904,2783.596847
0.908,2596.736264
0.912,2474.986312
0.916,2432.383887
0.92,2455.74146
0.924,2475.254533
0.928,2464.793916
0.932,2455.517942
0.936,2488.844393
0.94,2532.027964
0.944,2536.453609
0.948,2492.487728
0.952,2455.026204
0.956,2478.987274
0.96,2517.678144
0.964,2506.815196
0.968,2453.640396
0.972,2416.648259
0.976,2432.585053
0.98,2466.89498
0.984,2456.412012
0.988,2400.890279
0.992,2354.041023
0.996,2363.272293
1,2390.988456
1.004,2377.063319
1.008,2312.645592
1.012,2253.704042
1.016,2253.257007
1.02,2269.43967
1.024,2242.818742
1.028,2173.014244
1.032,2100.080502
1.036,2080.589781
1.04,2077.013502
1.044,2031.170074
1.048,1937.471561
1.052,1846.030575
1.056,1807.697333
1.06,1788.832461
1.064,1727.923957
1.068,1620.07679
1.072,1513.72719
1.076,1469.64955
1.08,1461.044128
1.084,1421.660354
1.088,1335.382621
1.092,1261.398347
1.096,1255.519838
1.1,1283.951257
1.104,1288.131033
1.108,1269.690844
1.112,1271.993073
1.116,1354.403955
1.12,1481.473622
1.124,1590.326618
1.128,1658.477087
1.132,1736.350565
1.136,1870.416328
1.14,2015.702667
1.144,2117.492511
1.148,2163.939436
1.152,2202.116215
1.156,2292.216097
1.16,2396.822261
1.164,2454.802687
1.168,2457.261378
1.172,2449.930006
1.176,2490.096091
1.18,2546.780115
1.184,2568.506011
1.188,2545.170789
1.192,2520.405057
1.196,2547.517723
1.2,2589.203726
1.204,2598.703217
1.208,2560.235865
1.212,2518.795731
1.216,2538.912301
1.22,2590.433072
1.224,2598.412645
1.228,2560.973473
1.232,2522.953155
1.236,2543.539112
1.24,2585.783909
1.244,2591.237735
1.248,2551.362223
1.252,2513.341905
1.256,2533.346717
1.26,2580.531249
1.264,2592.645895
1.268,2557.017214
1.272,2513.230147
1.276,2529.971603
1.28,2578.474889
1.284,2589.047264
1.288,2556.8384
1.292,2524.271908
1.296,2539.560502
1.3,2579.972455
1.304,2589.293133
1.308,2558.447726
1.312,2521.120312
1.316,2530.910376
1.32,2570.249447
1.324,2583.481679
1.328,2551.518685
1.332,2514.660658
1.336,2533.950214
1.34,2583.347569
1.344,2596.445691
1.348,2564.370938
1.352,2525.858882
1.356,2538.532321
1.36,2587.102662
1.364,2607.599212
1.368,2575.435051
1.372,2537.638251
1.376,2554.290301
1.38,2598.636162
1.384,2608.403874
1.388,2577.446708
1.392,2543.829685
1.396,2557.374842
1.4,2600.759578
1.404,2614.170625
1.408,2579.2572
1.412,2542.622691
1.416,2566.896685
1.42,2621.434941
1.424,2633.795456
1.428,2593.472909
1.432,2556.45842
1.436,2572.864601
1.44,2624.899462
1.444,2638.735192
1.448,2605.855776
1.452,2566.650816
1.456,2573.24458
1.46,2622.127846
1.464,2643.339651
1.468,2610.259069
1.472,2571.32233
1.476,2588.846098
1.48,2641.573863
1.484,2661.668081
1.488,2620.697334
1.492,2556.100792
1.496,2565.399118
1.5,2597.630334
1.504,2592.936467
1.508,2556.436069
1.512,2515.532376
1.516,2522.930804
1.52,2566.851982
1.524,2588.309656
1.528,2578.430185
1.532,2559.364147
1.536,2592.377674
1.54,2644.121962
1.544,2644.725459
1.548,2595.328104
1.552,2553.955025
1.556,2568.818935
1.56,2623.98304
1.564,2642.065602
1.568,2604.782892
1.572,2560.347624
1.576,2568.058976
1.58,2615.891709
1.584,2634.622471
1.588,2607.509805
1.592,2575.144479
1.596,2586.923848
1.6,2625.234738
1.604,2636.567072
1.608,2601.363075
1.612,2570.361205
1.616,2602.972401
1.62,2693.161689
1.624,2813.592889
1.628,2874.546096
1.632,2819.471397
1.636,2748.079926
1.64,2633.236663
1.644,2307.772912
1.648,1691.714131
1.652,1008.868338
1.656,878.0659292
1.66,1276.30696
1.664,2147.041517
1.668,2728.768018
1.672,2672.061643
1.676,2540.789847
1.68,2525.076571
1.684,2488.330303
1.688,2410.926212
1.692,2348.855418
1.696,2364.501639
1.7,2421.163311
1.704,2443.850332
1.708,2416.357686
1.712,2375.185773
1.716,2379.186735
1.72,2418.481102
1.724,2430.998079
1.728,2388.306247
1.732,2337.947767
1.736,2336.360793
1.74,2365.708633
1.744,2359.092517
1.748,2311.930336
1.752,2264.589341
1.756,2256.49801
1.76,2282.560144
1.764,2278.492126
1.768,2228.871254
1.772,2175.65175
1.776,2166.599294
1.78,2189.979218
1.784,2183.050177
1.788,2120.644107
1.792,2042.703574
1.796,2010.382952
1.8,2015.300335
1.804,1987.226544
1.808,1911.610593
1.812,1819.297888
1.816,1763.351472
1.82,1746.475905
1.824,1705.035771
1.828,1614.153578
1.832,1501.836062
1.836,1437.038355
1.84,1417.905261
1.844,1373.469993
1.848,1288.35455
1.852,1190.476261
1.856,1141.570645
1.86,1144.20815
1.864,1141.436534
1.868,1105.517281
1.872,1074.023673
1.876,1107.216013
1.88,1206.748331
1.884,1312.270917
1.888,1384.981142
1.892,1449.376517
1.896,1565.292664
1.9,1721.285489
1.904,1858.614607
1.908,1946.009928
1.912,2006.247879
1.916,2108.954145
1.92,2237.387268
1.924,2325.006106
1.928,2344.318014
1.932,2335.55613
1.936,2369.530781
1.94,2440.072887
1.944,2481.736539
1.948,2473.17582
1.952,2443.850332
1.956,2452.276939
1.96,2509.028019
1.964,2543.762629
1.968,2522.103789
1.972,2475.455698
1.976,2482.027111
1.98,2531.692687
1.984,2553.306824
1.988,2525.501254
1.992,2484.530507
1.996,2488.173841
2,2531.536225
2.004,2551.898664
2.008,2521.634402
2.012,2481.848297
2.016,2487.480937
2.02,2526.864711
2.024,2541.370993
2.028,2515.264155
2.032,2477.892039
2.036,2484.597562
2.04,2530.217472
2.044,2550.244635
2.048,2528.00465
2.052,2484.798728
2.056,2484.284637
2.06,2527.11058
2.064,2549.462324
2.068,2518.952193
2.072,2472.415861
2.076,2471.588847
2.08,2515.219452
2.084,2540.320461
2.088,2513.073684
2.092,2480.238972
2.096,2490.230202
2.1,2538.152342
2.104,2561.956949
2.108,2533.190254
2.112,2488.9338
2.116,2488.754986
2.12,2534.777228
2.124,2568.975397
2.128,2552.010423
2.132,2512.671353
2.136,2514.414789
2.14,2562.247522
2.144,2586.968552
2.148,2566.136726
2.152,2530.753914
2.156,2526.685897
2.16,2573.49045
2.164,2599.396121
2.168,2575.904438
2.172,2534.754876
2.176,2540.096943
2.18,2597.58563
2.184,2628.363982
2.188,2607.95684
2.192,2565.756746
2.196,2570.897647
2.2,2616.539909
2.204,2651.028651
2.208,2643.473761
2.212,2590.254258
2.216,2560.101755
2.22,2596.624505
2.224,2608.001543
2.228,2573.758671
2.232,2527.982298
2.236,2519.354525
2.24,2555.05026
2.244,2584.12988
2.248,2573.289284
2.252,2548.747068
2.256,2558.581836
2.26,2616.338744
2.264,2645.016032
2.268,2615.958764
2.272,2579.883049
2.276,2578.340778
2.28,2617.433979
2.284,2647.698241
2.288,2626.642898
2.292,2580.888877
2.296,2577.357301
2.3,2625.949994
2.304,2656.571884
2.308,2638.71284
2.312,2595.193993
2.316,2583.548735
2.32,2620.205596
2.324,2643.116134
2.328,2627.604023
2.332,2587.728511
2.336,2586.476813
2.34,2647.631186
2.344,2726.48814
2.348,2816.677429
2.352,2860.151572
2.356,2841.778438
2.36,2795.242106
2.364,2660.908122
2.368,2319.865205
2.372,1745.090097
2.376,1163.028319
2.38,1122.392848
2.384,1500.874937
2.388,2265.21519
2.392,2762.943836
2.396,2722.353068
2.4,2627.849892
2.404,2581.537078
2.408,2486.139832
2.412,2391.904878
2.416,2368.524953
2.42,2426.237157
2.424,2471.968826
2.428,2451.874608
2.432,2411.28384
2.436,2404.757131
2.44,2441.503399
2.444,2463.139887
2.448,2438.9553
2.452,2383.053587
2.456,2359.316034
2.46,2393.938886
2.464,2416.469445
2.468,2394.385921
2.472,2340.853493
2.476,2314.701952
2.48,2335.220854
2.484,2352.141124
2.488,2317.74179
2.492,2254.06167
2.496,2226.121989
2.5,2249.501914
2.504,2255.693347
2.508,2213.58266
2.512,2142.21354
2.516,2094.380807
2.52,2095.386636
2.524,2088.099967
2.528,2030.745391
2.532,1937.06923
2.536,1867.152973
2.54,1850.433868
2.544,1820.840159
2.548,1739.837437
2.552,1628.190473
2.556,1545.489019
2.56,1514.397742
2.564,1491.956591
2.568,1415.603032
2.572,1307.040609
2.576,1242.377012
2.58,1235.805599
2.584,1235.135047
2.588,1205.943669
2.592,1162.514229
2.596,1165.151735
2.6,1247.652024
2.604,1344.144505
2.608,1414.619555
2.612,1469.493087
2.616,1570.970007
2.62,1731.053201
2.624,1886.867212
2.628,1984.007893
2.632,2041.161304
2.636,2119.437113
2.64,2245.523303
2.644,2353.392822
2.648,2397.693979
2.652,2401.1585
2.656,2426.14775
2.66,2497.271001
2.664,2556.905455
2.668,2560.459383
2.672,2530.284528
2.676,2530.999783
2.68,2583.258162
2.684,2625.838235
2.688,2614.058866
2.692,2568.796583
2.696,2555.117316
2.7,2597.540927
2.704,2636.052982
2.708,2625.77118
2.712,2581.537078
2.716,2562.761612
2.72,2600.02197
2.724,2638.466971
2.728,2628.07341
2.732,2583.213458
2.736,2559.073574
2.74,2594.389331
2.744,2634.018974
2.748,2628.363982
2.752,2585.962723
2.756,2569.288322
2.76,2608.560337
2.764,2644.233721
2.768,2630.956785
2.772,2586.543868
2.776,2568.528362
2.78,2606.816901
2.784,2645.999509
2.788,2640.992718
2.792,2598.345589
2.796,2578.117261
2.8,2611.287249
2.804,2645.37366
2.808,2640.836256
2.812,2595.909249
2.816,2576.95497
2.82,2616.025819
2.824,2654.850799
2.828,2654.023785
2.832,2612.896575
2.836,2596.624505
2.84,2637.148218
2.844,2681.717596
2.848,2672.888657
2.852,2627.872244
2.856,2610.817863
2.86,2648.569959
2.864,2690.233611
2.868,2684.645675
2.872,2644.904273
2.876,2628.319279
2.88,2663.836201
2.884,2701.789463
2.888,2698.257887
2.892,2656.191904
2.896,2634.309546
2.9,2670.251151
2.904,2715.781655
2.908,2716.541614
2.912,2677.448413
2.916,2656.236608
2.92,2699.330771
2.924,2747.342318
2.928,2743.810742
2.932,2704.806948
2.936,2688.289009
2.94,2725.638774
2.944,2774.834964
2.948,2785.563801
2.952,2743.050783
2.956,2702.169442
2.96,2725.884643
2.964,2748.571664
2.968,2720.609632
2.972,2664.573808
2.976,2635.561244
2.98,2670.74289
2.984,2709.210242
2.988,2700.247192
2.992,2673.55921
2.996,2661.511619
3,2701.744759
3.004,2746.761173
3.008,2736.434667
3.012,2695.307457
3.016,2676.576695
3.02,2707.846786
3.024,2741.329699
3.028,2741.195588
3.032,2698.16848
3.036,2675.012073
3.04,2713.904108
3.044,2756.059498
3.048,2753.913731
3.052,2713.747646
3.056,2689.4513
3.06,2720.229652
3.064,2759.836943
3.068,2762.385042
3.072,2724.074152
3.076,2712.585355
3.08,2777.673635
3.084,2887.241887
3.088,2934.895806
3.092,2914.511015
3.096,2866.521819
3.1,2768.174144
3.104,2536.051278
3.108,2130.054191
3.112,1603.380037
3.116,1519.158664
3.12,1795.426225
3.124,2390.049683
3.128,2916.254451
3.132,2909.459521
3.136,2714.82053
3.14,2621.837273
3.144,2589.248429
3.148,2564.326234
3.152,2530.552749
3.156,2526.909414
3.16,2576.239714
3.164,2622.887805
3.168,2617.411627
3.172,2569.131859
3.176,2535.157208
3.18,2551.921016
3.184,2581.82765
3.188,2569.802412
3.192,2519.354525
3.196,2485.916315
3.2,2502.166033
3.204,2527.267042
3.208,2512.425484
3.212,2459.898884
3.216,2416.983535
3.22,2432.383887
3.224,2460.211809
3.228,2440.251701
3.232,2378.024444
3.236,2330.750505
3.24,2338.953595
3.244,2350.397688
3.248,2318.971135
3.252,2245.657414
3.256,2176.814041
3.26,2164.63234
3.264,2166.196962
3.268,2120.800569
3.272,2028.286699
3.276,1945.227616
3.28,1915.835072
3.284,1891.561078
3.288,1825.019935
